hanzi,pinyin,translation_eng,example_sentence_1_hanzi,example_sentence_1_pinyin,example_sentence_1_eng,example_sentence_2_hanzi,example_sentence_2_pinyin,example_sentence_2_eng
准备,zhǔnbèi,"preparation; to prepare; to intend; to be about to; reserve (fund)","你准备好了吗？","nǐ zhǔnbèi hǎo le ma?","Are you ready?","我准备明天去北京。","wǒ zhǔnbèi míngtiān qù Běijīng.","I plan/intend to go to Beijing tomorrow."
杀,shā,"to kill; to murder; to attack; to weaken or reduce; to smart (dialect); (used after a verb) extremely","他杀了一个人。","tā shā le yī ge rén.","He killed a person.","这个价格杀得太低了。","zhège jiàgé shā de tài dī le.","This price has been cut too low."
赶快,gǎnkuài,"at once; immediately","时间不早了，我们赶快走吧。","shíjiān bù zǎo le, wǒmen gǎnkuài zǒu ba.","It's getting late, let's hurry and go.","你赶快去医院看看。","nǐ gǎnkuài qù yīyuàn kànkan.","You should go to the hospital immediately."
不行,bùxíng,"won't do; be out of the question; be no good; not work; not be capable","这样做不行。","zhèyàng zuò bùxíng.","Doing it this way won't do.","我觉得这个计划不行。","wǒ juéde zhège jìhuà bùxíng.","I think this plan is no good."
完,wán,"to finish; to be over; whole; complete; entire","我做完作业了。","wǒ zuò wán zuòyè le.","I have finished my homework.","电影看完了。","diànyǐng kàn wán le.","The movie is finished."
比较,bǐjiào,"to compare; to contrast; comparatively; relatively; quite; comparison","比较一下这两个手机。","bǐjiào yīxià zhè liǎng ge shǒujī.","Compare these two mobile phones.","今天天气比较冷。","jīntiān tiānqì bǐjiào lěng.","The weather is relatively cold today."
真是,zhēnshi,"indeed; truly; (coll.) (used to express disapproval, annoyance etc about sth)","你真是个好人！","nǐ zhēnshi ge hǎorén!","You are truly a good person!","真是的，又迟到了！","zhēnshi de, yòu chídào le!","Really! Late again!"
心,xīn,"heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]","他心里很难过。","tā xīn lǐ hěn nánguò.","He feels very sad in his heart.","请专心听讲。","qǐng zhuānxīn tīngjiǎng.","Please listen attentively."
重要,zhòngyào,"important; significant; major","这是一个重要的决定。","zhè shì yī ge zhòngyào de juédìng.","This is an important decision.","健康是最重要的。","jiànkāng shì zuì zhòngyào de.","Health is the most important thing."
要是,yàoshi,"(coll.) if","要是有钱，我就去旅行。","yàoshi yǒu qián, wǒ jiù qù lǚxíng.","If I had money, I would go travelling.","你要是不舒服，就休息一下。","yàoshi nǐ bù shūfu, jiù xiūxi yīxià.","If you don't feel well, take a rest."
能够,nénggòu,"to be capable of; to be able to; can","我相信你能够成功。","wǒ xiāngxìn nǐ nénggòu chénggōng.","I believe you can succeed.","我们能够克服困难。","wǒmen nénggòu kèfú kùnnan.","We are able to overcome difficulties."
刚,gāng,"hard; firm; strong; just; barely; exactly","我刚吃完饭。","wǒ gāng chī wán fàn.","I just finished eating.","他性格很刚强。","tā xìnggé hěn gāngqiáng.","He has a very strong character."
发生,fāshēng,"to happen; to occur; to take place; to break out","昨天这里发生了什么事？","zuótiān zhèlǐ fāshēng le shénme shì?","What happened here yesterday?","我们不知道将会发生什么。","wǒmen bù zhīdào jiāng huì fāshēng shénme.","We don't know what will happen."
怎么办,zěnmebàn,"what's to be done","我把钥匙丢了，怎么办？","wǒ bǎ yàoshi diū le, zěnmebàn?","I lost my keys, what should I do?","如果下雨怎么办？","rúguǒ xià yǔ zěnmebàn?","What if it rains?"
而,ér,"and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)","他聪明而努力。","tā cōngming ér nǔlì.","He is smart and hardworking.","工作很累，而他从不抱怨。","gōngzuò hěn lèi, ér tā cóng bù bàoyuàn.","Work is tiring, yet he never complains."
那些,nàxiē,"those","那些书是谁的？","nàxiē shū shì shéi de?","Whose books are those?","我不喜欢那些电影。","wǒ bù xǐhuan nàxiē diànyǐng.","I don't like those movies."
发现,fāxiàn,"to find; to discover","我发现他变了。","wǒ fāxiàn tā biàn le.","I discovered that he has changed.","科学家有了一个新发现。","kēxuéjiā yǒu le yī ge xīn fāxiàn.","The scientist made a new discovery."
懂,dǒng,"to understand; to comprehend","你懂我的意思吗？","nǐ dǒng wǒ de yìsi ma?","Do you understand my meaning?","我听不懂他在说什么。","wǒ tīng bù dǒng tā zài shuō shénme.","I don't understand what he is saying."
认识,rènshi,"to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition","你认识他吗？","nǐ rènshi tā ma?","Do you know him?","很高兴认识你。","hěn gāoxìng rènshi nǐ.","Nice to meet you."
错,cuò,"mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver","对不起，我错了。","duìbuqǐ, wǒ cuò le.","I'm sorry, I was wrong.","这个答案是错的。","zhège dá'àn shì cuò de.","This answer is wrong."
那边,nàbian,"over there; yonder","请到那边等我。","qǐng dào nàbian děng wǒ.","Please wait for me over there.","那边发生了什么事？","nàbian fāshēng le shénme shì?","What happened over there?"
菜,cài,"dish (type of food); vegetable; cuisine; CL:盤|盘[pan2],道[dao4]; (coll.) (one's) type; (of one's skills etc) weak; poor","你喜欢吃什么菜？","nǐ xǐhuan chī shénme cài?","What kind of dishes do you like to eat?","我们去市场买菜吧。","wǒmen qù shìchǎng mǎi cài ba.","Let's go to the market to buy vegetables."
过去,guòqù,"(in the) past; former; previous; to go over; to pass by","不要总是想着过去。","bùyào zǒngshì xiǎngzhe guòqù.","Don't always think about the past.","他从我身边走过去。","tā cóng wǒ shēnbiān zǒu guòqù.","He walked past me."
一些,yīxiē,"some; a few; a little; (following an adjective) slightly ...er","我买了一些水果。","wǒ mǎi le yīxiē shuǐguǒ.","I bought some fruit.","他比我高一些。","tā bǐ wǒ gāo yīxiē.","He is a little taller than me."
快点,kuàidiǎn,"to do sth more quickly; Hurry up!; Get a move on!","快点吃，要迟到了。","kuàidiǎn chī, yào chídào le.","Eat quickly, we're going to be late.","你能不能快点？","nǐ néng bù néng kuàidiǎn?","Can you hurry up?"
五,wǔ,"five; 5","我有五本书。","wǒ yǒu wǔ běn shū.","I have five books.","现在是五点钟。","xiànzài shì wǔ diǎn zhōng.","It's five o'clock now."
孩子,háizi,"child","他有两个孩子。","tā yǒu liǎng ge háizi.","He has two children.","这个孩子很聪明。","zhège háizi hěn cōngming.","This child is very smart."
位,wèi,"position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); (physics) potential","请问还有位子吗？","qǐngwèn háiyǒu wèizi ma?","Excuse me, are there any seats left?","这位是王教授。","zhè wèi shì Wáng jiàoshòu.","This (person) is Professor Wang."
根本,gēnběn,"fundamental; basic; root; simply; absolutely (not); (not) at all; CL:個|个[ge4]","这才是问题的根本。","zhè cái shì wèntí de gēnběn.","This is the root of the problem.","我根本不知道这件事。","wǒ gēnběn bù zhīdào zhè jiàn shì.","I didn't know about this matter at all."
四,sì,"four; 4","一年有四个季节。","yī nián yǒu sì ge jìjié.","There are four seasons in a year.","桌子有四条腿。","zhuōzi yǒu sì tiáo tuǐ.","A table has four legs."
别人,biéren,"other people; others; other person","不要打扰别人。","bùyào dǎrǎo biéren.","Don't disturb other people.","这是别人的东西。","zhè shì biéren de dōngxi.","This belongs to someone else."
们,men,"plural marker for pronouns, and nouns referring to individuals","我们是学生。","wǒmen shì xuéshēng.","We are students.","孩子们在玩耍。","háizi men zài wánshuǎ.","The children are playing."
有人,yǒurén,"someone; people; anyone; there is someone there; occupied (as in restroom)","外面有人叫你。","wàimiàn yǒu rén jiào nǐ.","Someone outside is calling you.","这个座位有人吗？","zhège zuòwèi yǒu rén ma?","Is this seat occupied?"
马上,mǎshàng,"at once; right away; immediately; on horseback (i.e. by military force)","我马上就来。","wǒ mǎshàng jiù lái.","I'll come right away.","请马上通知他。","qǐng mǎshàng tōngzhī tā.","Please notify him immediately."
机会,jīhuì,"opportunity; chance; occasion; CL:個|个[ge4]","这是一个好机会。","zhè shì yī ge hǎo jīhuì.","This is a good opportunity.","我们应该抓住机会。","wǒmen yīnggāi zhuāzhù jīhuì.","We should seize the opportunity."
下来,xiàlai,"to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)","请从楼上下来。","qǐng cóng lóushàng xiàlai.","Please come down from upstairs.","他把价格降下来了。","tā bǎ jiàgé jiàng xiàlai le.","He lowered the price."
以前,yǐqián,"before; formerly; previous; ago","我以前住在这里。","wǒ yǐqián zhù zài zhèlǐ.","I used to live here before.","吃饭以前要洗手。","chīfàn yǐqián yào xǐshǒu.","Wash hands before eating."
救,jiù,"to save; to assist; to rescue","快来救我！","kuài lái jiù wǒ!","Quick, come save me!","医生救了她的命。","yīshēng jiù le tā de mìng.","The doctor saved her life."
拉,lā,"to pull; to play (a bowed instrument); to drag; to draw; to chat","请帮我拉一下门。","qǐng bāng wǒ lā yīxià mén.","Please help me pull the door.","他喜欢拉小提琴。","tā xǐhuan lā xiǎotíqín.","He likes playing the violin."
以,yǐ,"to use; by means of; according to; in order to; because of; at (a certain date or place)","请以事实为依据。","qǐng yǐ shìshí wéi yījù.","Please use facts as the basis.","我们可以以这种方式解决问题。","wǒmen kěyǐ yǐ zhè zhǒng fāngshì jiějué wèntí.","We can solve the problem by this means."
关,guān,"mountain pass; to close; to shut; to turn off; to concern; to involve","请把门关上。","qǐng bǎ mén guān shàng.","Please close the door.","这件事与你无关。","zhè jiàn shì yǔ nǐ wú guān.","This matter doesn't concern you."
不然,bùrán,"not so; no; or else; otherwise; if not; How about ...?","快点走，不然要迟到了。","kuài diǎn zǒu, bùrán yào chídào le.","Hurry up, otherwise we'll be late.","你应该听他的，不然会后悔的。","nǐ yīnggāi tīng tā de, bùrán huì hòuhuǐ de.","You should listen to him, otherwise you'll regret it."
车,chē,"car; vehicle; CL:輛|辆[liang4]; machine; to shape with a lathe; Kangxi radical 159","我开车去上班。","wǒ kāi chē qù shàngbān.","I drive a car to work.","这辆车是新的。","zhè liàng chē shì xīn de.","This car is new."
玩,wán,"to play; to have fun; to trifle with; toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to keep sth for entertainment","孩子们在外面玩。","háizi men zài wàimiàn wán.","The children are playing outside.","这个周末我们去哪儿玩？","zhège zhōumò wǒmen qù nǎr wán?","Where shall we go have fun this weekend?"
明天,míngtiān,"tomorrow","明天天气怎么样？","míngtiān tiānqì zěnmeyàng?","How will the weather be tomorrow?","我明天去看你。","wǒ míngtiān qù kàn nǐ.","I will visit you tomorrow."
新,xīn,"new; newly; meso- (chemistry)","这是一件新衣服。","zhè shì yī jiàn xīn yīfu.","This is a new piece of clothing.","新年快乐！","xīn nián kuàilè!","Happy New Year!"
白,bái,"white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera","她喜欢穿白色的裙子。","tā xǐhuan chuān báisè de qúnzi.","She likes wearing white dresses.","今天我白跑了一趟。","jīntiān wǒ bái pǎo le yī tàng.","I made a trip for nothing today."
晚上,wǎnshang,"evening; night; CL:個|个[ge4]; in the evening","你今天晚上有空吗？","nǐ jīntiān wǎnshang yǒu kòng ma?","Are you free this evening?","我通常晚上十点睡觉。","wǒ tōngcháng wǎnshang shí diǎn shuìjiào.","I usually go to sleep at 10 PM."
前,qián,"front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly","请往前走。","qǐng wǎng qián zǒu.","Please walk forward.","三天前我见过他。","sān tiān qián wǒ jiàn guo tā.","I saw him three days ago."
不管,bùguǎn,"not to be concerned; regardless of; no matter","不管天气怎么样，我都要去。","bùguǎn tiānqì zěnmeyàng, wǒ dōu yào qù.","No matter what the weather is like, I'm going.","不管你同不同意，我已经决定了。","bùguǎn nǐ tóng bù tóngyì, wǒ yǐjīng juédìng le.","Regardless of whether you agree or not, I've already decided."
就算,jiùsuàn,"granted that; even if","就算下雨，我也要去。","jiùsuàn xià yǔ, wǒ yě yào qù.","Even if it rains, I still want to go.","就算失败了，也不要放弃。","jiùsuàn shībài le, yě bùyào fàngqì.","Even if you fail, don't give up."
不对,bùduì,"incorrect; wrong; amiss; abnormal; queer","这个答案不对。","zhège dá'àn bùduì.","This answer is incorrect.","我觉得有点不对。","wǒ juéde yǒudiǎn bùduì.","I feel something is amiss."
久,jiǔ,"(long) time; (long) duration of time","好久不见！","hǎo jiǔ bù jiàn!","Long time no see!","他等了很久。","tā děng le hěn jiǔ.","He waited for a long time."
开心,kāixīn,"to feel happy; to rejoice; to have a great time; to make fun of sb","看到你我真开心。","kàndào nǐ wǒ zhēn kāixīn.","I'm really happy to see you.","别拿他开心了。","bié ná tā kāixīn le.","Stop making fun of him."
万,wàn,"ten thousand; a great number","这件东西要一万块钱。","zhè jiàn dōngxi yào yī wàn kuài qián.","This thing costs ten thousand yuan.","万事如意！","wàn shì rúyì!","May all go well with you!"
照顾,zhàogu,"to take care of; to show consideration; to attend to; to look after","请照顾好自己。","qǐng zhàogu hǎo zìjǐ.","Please take good care of yourself.","他很会照顾人。","tā hěn huì zhàogu rén.","He is very good at taking care of people."
抓,zhuā,"to grab; to catch; to arrest; to snatch; to scratch","他抓住了我的手。","tā zhuā zhù le wǒ de shǒu.","He grabbed my hand.","警察抓住了小偷。","jǐngchá zhuā zhù le xiǎotōu.","The police caught the thief."
干什么,gànshénme,"what are you doing?; what's he up to?","你在干什么？","nǐ zài gàn shénme?","What are you doing?","他鬼鬼祟祟的，想干什么？","tā guǐguǐsuìsuì de, xiǎng gàn shénme?","He's acting suspiciously, what's he up to?"
难道,nándào,"don't tell me ...; could it be that...?","难道你不知道吗？","nándào nǐ bù zhīdào ma?","Don't tell me you don't know? / Could it be that you don't know?","这么简单的问题，难道你还不会？","zhème jiǎndān de wèntí, nándào nǐ hái bù huì?","Such a simple question, could it be that you still don't know how to solve it?"
回家,huíjiā,"to return home","我该回家了。","wǒ gāi huíjiā le.","I should go home now.","他每天晚上七点回家。","tā měitiān wǎnshang qī diǎn huíjiā.","He returns home at 7 PM every day."
不好,bùhǎo,"no good","这个主意不好。","zhège zhǔyi bùhǎo.","This idea is not good.","今天天气不好。","jīntiān tiānqì bùhǎo.","The weather is bad today."
不错,bùcuò,"correct; right; not bad; pretty good","这个电影不错。","zhège diànyǐng bùcuò.","This movie is not bad.","你的中文说得不错。","nǐ de Zhōngwén shuō de bùcuò.","Your Chinese speaking is pretty good."
睡,shuì,"to sleep; to lie down","我困了，想睡觉。","wǒ kùn le, xiǎng shuìjiào.","I'm sleepy, I want to sleep.","他睡得很香。","tā shuì de hěn xiāng.","He slept very soundly."
成,chéng,"to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth","他成功了。","tā chénggōng le.","He succeeded.","水结成了冰。","shuǐ jié chéng le bīng.","Water turned into ice."
处理,chǔlǐ,"to handle; to treat; to deal with; to process; to deal with a criminal case; to mete out punishment; to offer for sale at a reduced price; to punish","这个问题需要尽快处理。","zhège wèntí xūyào jǐnkuài chǔlǐ.","This problem needs to be handled as soon as possible.","这批货物正在处理中。","zhè pī huòwù zhèngzài chǔlǐ zhōng.","This batch of goods is being processed (or being sold at a reduced price)."
愿意,yuànyì,"to wish; to want; ready; willing (to do sth)","你愿意帮我吗？","nǐ yuànyì bāng wǒ ma?","Are you willing to help me?","他不愿意去。","tā bù yuànyì qù.","He is unwilling to go."
任何,rènhé,"any; whatever; whichever; whatsoever","我不接受任何借口。","wǒ bù jiēshòu rènhé jièkǒu.","I don't accept any excuses.","任何人都可以参加。","rènhé rén dōu kěyǐ cānjiā.","Anyone can participate."
早,zǎo,"early; morning; Good morning!; long ago; prematurely","早上好！","zǎoshang hǎo!","Good morning!","他每天都很早起床。","tā měitiān dōu hěn zǎo qǐchuáng.","He gets up very early every day."
没关系,méiguānxi,"it doesn't matter; it's nothing; never mind; to have nothing to do; to be free; to be all right (out of danger or trouble)","对不起。— 没关系。","duìbuqǐ. — méiguānxi.","I'm sorry. — It doesn't matter.","迟到一点没关系。","chídào yīdiǎn méiguānxi.","It's okay to be a little late."
写,xiě,"to write","请把你的名字写下来。","qǐng bǎ nǐ de míngzi xiě xiàlai.","Please write down your name.","他喜欢写小说。","tā xǐhuan xiě xiǎoshuō.","He likes writing novels."
动,dòng,"(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 動詞|动词[dong4 ci2], verb","请不要动！","qǐng bùyào dòng!","Please don't move!","这个桌子太重了，我搬不动。","zhège zhuōzi tài zhòng le, wǒ bān bù dòng.","This table is too heavy, I can't move it."
最近,zuìjìn,"recently; soon; nearest","你最近怎么样？","nǐ zuìjìn zěnmeyàng?","How have you been recently?","最近的超市在哪里？","zuìjìn de chāoshì zài nǎlǐ?","Where is the nearest supermarket?"
换,huàn,"to exchange; to change (clothes etc); to substitute; to switch; to convert (currency)","我想换点人民币。","wǒ xiǎng huàn diǎn Rénmínbì.","I want to exchange some RMB.","外面冷，快换件衣服。","wàimiàn lěng, kuài huàn jiàn yīfu.","It's cold outside, quickly change your clothes."
留,liú,"to leave (a message etc); to retain; to stay; to remain; to keep; to preserve","请给我留个电话号码。","qǐng gěi wǒ liú ge diànhuà hàomǎ.","Please leave me a phone number.","他决定留在北京工作。","tā juédìng liú zài Běijīng gōngzuò.","He decided to stay and work in Beijing."
报告,bàogào,"to inform; to report; to make known; report; speech; talk; lecture; CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]","请向我报告情况。","qǐng xiàng wǒ bàogào qíngkuàng.","Please report the situation to me.","他做了一个精彩的报告。","tā zuò le yī ge jīngcǎi de bàogào.","He gave a brilliant report/presentation."
几,jǐ,"how much; how many; several; a few","现在几点了？","xiànzài jǐ diǎn le?","What time is it now?","我有几本书。","wǒ yǒu jǐ běn shū.","I have a few books."
总,zǒng,"always; to assemble; gather; total; overall; head; chief; general; in every case","他总是迟到。","tā zǒng shì chídào.","He is always late.","这次考试的总分是多少？","zhè cì kǎoshì de zǒng fēn shì duōshǎo?","What is the total score for this exam?"
既然,jìrán,"since; as; this being the case","既然你不想去，那就算了。","jìrán nǐ bù xiǎng qù, nà jiù suàn le.","Since you don't want to go, then forget it.","既然如此，我们就改变计划吧。","jìrán rúcǐ, wǒmen jiù gǎibiàn jìhuà ba.","Since this is the case, let's change the plan."
有点,yǒudiǎn,"a little","我有点累了。","wǒ yǒudiǎn lèi le.","I'm a little tired.","今天有点冷。","jīntiān yǒudiǎn lěng.","It's a bit cold today."
休息,xiūxi,"rest; to rest","我需要休息一下。","wǒ xūyào xiūxi yīxià.","I need to rest for a bit.","周末好好休息吧。","zhōumò hǎohǎo xiūxi ba.","Have a good rest over the weekend."
本,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc","这本书很有趣。","zhè běn shū hěn yǒuqù.","This book is very interesting.","我们应该不忘本。","wǒmen yīnggāi bù wàng běn.","We should not forget our roots/origin."
女人,nǚrén,"woman","她是一个坚强的女人。","tā shì yī ge jiānqiáng de nǚrén.","She is a strong woman.","这个女人是谁？","zhège nǚrén shì shéi?","Who is this woman?"
吃饭,chīfàn,"to have a meal; to eat; to make a living","你吃饭了吗？","nǐ chīfàn le ma?","Have you eaten?","我们一起去吃饭吧。","wǒmen yīqǐ qù chīfàn ba.","Let's go eat together."
最后,zuìhòu,"final; last; finally; ultimate","这是最后的机会。","zhè shì zuìhòu de jīhuì.","This is the last chance.","最后，他成功了。","zuìhòu, tā chénggōng le.","Finally, he succeeded."
怪,guài,"bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather","这事真怪。","zhè shì zhēn guài.","This matter is really strange.","都怪我，是我不好。","dōu guài wǒ, shì wǒ bù hǎo.","It's all my fault, I was wrong."
特别,tèbié,"especially; special; particular; unusual","我特别喜欢这个地方。","wǒ tèbié xǐhuan zhège dìfang.","I especially like this place.","今天是一个特别的日子。","jīntiān shì yī ge tèbié de rìzi.","Today is a special day."
继续,jìxù,"to continue; to proceed with; to go on with","请继续你的表演。","qǐng jìxù nǐ de biǎoyǎn.","Please continue your performance.","我们需要继续努力。","wǒmen xūyào jìxù nǔlì.","We need to continue working hard."
儿子,érzi,"son","他是我唯一的儿子。","tā shì wǒ wéiyī de érzi.","He is my only son.","我儿子今年十岁了。","wǒ érzi jīnnián shí suì le.","My son is ten years old this year."
挺,tǐng,"straight; erect; to stick out (a part of the body); to (physically) straighten up; to support; to withstand; outstanding; (coll.) quite; very; classifier for machine guns","他站得挺直。","tā zhàn de tǐng zhí.","He stands up straight.","这件衣服挺好看的。","zhè jiàn yīfu tǐng hǎokàn de.","This piece of clothing is quite good-looking."
说话,shuōhuà,"to speak; to say; to talk; to gossip; to tell stories; talk; word","请不要大声说话。","qǐng bùyào dàshēng shuōhuà.","Please don't speak loudly.","我们需要好好说话。","wǒmen xūyào hǎohǎo shuōhuà.","We need to talk properly."
虽然,suīrán,"although; even though; even if","虽然下雨了，我们还是去了。","suīrán xià yǔ le, wǒmen háishi qù le.","Although it rained, we still went.","他虽然很累，但还在工作。","tā suīrán hěn lèi, dàn hái zài gōngzuò.","Even though he is tired, he is still working."
刚才,gāngcái,"just now; a moment ago","他刚才出去了。","tā gāngcái chūqù le.","He went out just now.","你刚才说什么？","nǐ gāngcái shuō shénme?","What did you say just now?"
金,jīn,"gold; chemical element Au; generic term for lustrous and ductile metals; money; golden; highly respected; one of the eight categories of ancient musical instruments 八音[ba1 yin1]","她戴着金项链。","tā dài zhe jīn xiàngliàn.","She is wearing a gold necklace.","时间就是金钱。","shíjiān jiùshì jīnqián.","Time is money."
女,nǚ,"female; woman; daughter","她是女医生。","tā shì nǚ yīshēng.","She is a female doctor.","他有一个女儿。","tā yǒu yī ge nǚ'ér.","He has a daughter."
神,shén,"deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; CL:個|个[ge4]; (slang) awesome; amazing","古希腊有很多神的故事。","gǔ Xīlà yǒu hěn duō shén de gùshi.","Ancient Greece has many stories of gods.","他看起来没什么精神。","tā kàn qǐlai méi shénme jīngshén.","He doesn't look very spirited/energetic."
算,suàn,"to regard as; to figure; to calculate; to compute","这顿饭算我的。","zhè dùn fàn suàn wǒ de.","This meal is on me (count it as mine).","你算一下一共多少钱。","nǐ suàn yīxià yīgòng duōshǎo qián.","Calculate how much it is in total."
进,jìn,"to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound","请进。","qǐng jìn.","Please come in.","他走进房间。","tā zǒu jìn fángjiān.","He walked into the room."
个人,gèrén,"individual; personal; oneself","这是我的个人意见。","zhè shì wǒ de gèrén yìjiàn.","This is my personal opinion.","请大家谈谈个人看法。","qǐng dàjiā tántan gèrén kànfǎ.","Everyone please talk about your individual views."
绝对,juéduì,"absolute; unconditional","这是绝对不可能的。","zhè shì juéduì bù kěnéng de.","This is absolutely impossible.","我绝对支持你。","wǒ juéduì zhīchí nǐ.","I absolutely support you."
与,yǔ,"and; to give; together with","这本书讨论了科学与艺术的关系。","zhè běn shū tǎolùn le kēxué yǔ yìshù de guānxì.","This book discusses the relationship between science and art.","我与他合作完成了这个项目。","wǒ yǔ tā hézuò wánchéng le zhège xiàngmù.","I completed this project together with him."
拜,bài,"to pay respect; worship; visit; salute","新年要去给长辈拜年。","xīnnián yào qù gěi zhǎngbèi bài nián.","During the New Year, one should pay respects to the elders.","改天我一定去拜访您。","gǎitiān wǒ yīdìng qù bàifǎng nín.","I will definitely visit you another day."
却,què,"but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though","他很努力，结果却失败了。","tā hěn nǔlì, jiéguǒ què shībài le.","He worked hard, but the result was failure.","我想帮忙，却不知道该怎么做。","wǒ xiǎng bāngmáng, què bù zhīdào gāi zěnme zuò.","I want to help, yet I don't know what to do."
这样子,zhèyàngzi,"so; such; this way; like this","你怎么是这样子？","nǐ zěnme shì zhèyàngzi?","Why are you like this?","事情就是这样子的。","shìqing jiùshì zhèyàngzi de.","That's just how things are."
你好,nǐhǎo,"hello; hi","你好，请问有什么可以帮您？","nǐhǎo, qǐngwèn yǒu shénme kěyǐ bāng nín?","Hello, may I help you?","跟朋友见面要说你好。","gēn péngyou jiànmiàn yào shuō nǐhǎo.","Say hello when you meet friends."
道,dào,"road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)","这条道很难走。","zhè tiáo dào hěn nán zǒu.","This road is difficult to walk.","你知道这个问题的答案吗？","nǐ zhīdào zhège wèntí de dá'àn ma? (Using the classifier sense for question)","Do you know the answer to this question?"
路,lù,"road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind","这条路通向哪里？","zhè tiáo lù tōng xiàng nǎlǐ?","Where does this road lead?","我们迷路了。","wǒmen mílù le.","We are lost."
多少,duōshao,"how much?; how many?; (phone number, student ID etc) what number?","这个多少钱？","zhège duōshǎo qián?","How much is this?","你们班有多少学生？","nǐmen bān yǒu duōshǎo xuéshēng?","How many students are in your class?"
水,shuǐ,"water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes","请给我一杯水。","qǐng gěi wǒ yī bēi shuǐ.","Please give me a glass of water.","河里的水很清。","hé lǐ de shuǐ hěn qīng.","The water in the river is very clear."
月,yuè,"moon; month; monthly; CL:個|个[ge4],輪|轮[lun2]","今晚的月亮很圆。","jīnwǎn de yuèliang hěn yuán.","Tonight's moon is very round.","现在是几月？","xiànzài shì jǐ yuè?","What month is it now?"
就要,jiùyào,"will; shall; to be going to","火车就要开了。","huǒchē jiùyào kāi le.","The train is about to depart.","我就要毕业了。","wǒ jiùyào bìyè le.","I am going to graduate soon."
第一,dìyī,"first; number one; primary","他是第一名。","tā shì dìyī míng.","He is the first place.","这是我第一次来中国。","zhè shì wǒ dìyī cì lái Zhōngguó.","This is my first time coming to China."
答应,dāying,"to answer; to respond; to answer positively; to agree; to accept; to promise","他没答应我的请求。","tā méi dāying wǒ de qǐngqiú.","He didn't agree to my request.","你答应我，一定要来。","nǐ dāying wǒ, yīdìng yào lái.","Promise me you will definitely come."
不到,bùdào,"not to arrive; not reaching; insufficient; less than","他工作不到一年就离开了。","tā gōngzuò bùdào yī nián jiù líkāi le.","He left after working for less than a year.","从这里到那里不到十公里。","cóng zhèlǐ dào nàlǐ bùdào shí gōnglǐ.","It's less than ten kilometers from here to there."
接,jiē,"to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb","请接电话。","qǐng jiē diànhuà.","Please answer the phone.","我去机场接你。","wǒ qù jīchǎng jiē nǐ.","I will pick you up at the airport."
每,měi,"each; every","他每天都跑步。","tā měi tiān dōu pǎobù.","He runs every day.","每个人都有自己的梦想。","měi ge rén dōu yǒu zìjǐ de mèngxiǎng.","Everyone has their own dreams."
帮忙,bāngmáng,"to help; to lend a hand; to do a favor; to do a good turn","你能帮个忙吗？","nǐ néng bāng ge máng ma?","Can you do me a favor?","谢谢你的帮忙。","xièxie nǐ de bāngmáng.","Thank you for your help."
下去,xiàqù,"to go down; to descend; to go on; to continue; (of a servant) to withdraw","请从楼上走下去。","qǐng cóng lóushàng zǒu xiàqù.","Please go down from upstairs.","请继续说下去。","qǐng jìxù shuō xiàqù.","Please continue speaking."
其他,qítā,"other; (sth or sb) else; the rest","除了他，其他人都来了。","chúle tā, qítā rén dōu lái le.","Except for him, everyone else came.","你还有其他问题吗？","nǐ háiyǒu qítā wèntí ma?","Do you have any other questions?"
